name,record,foley,library
70 630 332,0,0,1
357 464 99,0,0,1
316 770,0,0,1
316 770,0,0,1
562 992 1040 187 15 337 1036 36 953 911,0,1,0
493,0,0,1
999 146,0,1,0
788 714 464 600,0,1,0
277 1000 926 940 470 539 692,0,1,0
788 899 1000,0,1,0
788 902 139 994 25,0,1,0
788 994,0,1,0
618 493,0,0,1
865,0,0,1
442 939 36 864 442 403,0,0,1
786,0,1,0
553 508 864,0,0,1
614 642 85,0,1,0
614 1012 56,0,1,0
876 399 789 993,0,1,0
415 817 423,0,1,0
1011 15 226 904,0,1,0
456 614,0,1,0
788 1012 846 645 815 657,0,1,0
788 1012 15 337 336,0,1,0
566 933 789 420,0,1,0
700 902 36 933 631,0,0,1
604 630 579,1,0,0
791 281 643,1,0,0
683 366 1000 791 904,1,0,0
281 197,1,0,0
252 854 36 478 387 651 630 74 36 1011 195,1,0,0
880 630 507 387 651 630 74,1,0,0
447 235 1000,1,0,0
835 281 643,1,0,0
381 783,1,0,0
1001 902 783,1,0,0
1001 771 126 284 949 446,1,0,0
1001 881 267 373 1022,1,0,0
1001 833 631,1,0,0
1001 902 25 1031 126 881 464 36 651,1,0,0
126 881,1,0,0
1001 881 267 50 477 385 706,1,0,0
1017 885 651,1,0,0
1001 985 631,1,0,0
835 281 643,1,0,0
167 787 651 36 852 281,1,1,0
682 36 575 935 16 290 745 588,1,0,1
604 568,1,0,0
239 618 881,0,0,0
1047 630 15 64,0,1,0
763 959 64,0,1,0
366,0,1,0
942 630 938,0,1,0
144 881 304 949 260,0,0,0
682 1011 1000 969 145,0,1,0
682 46 377,0,1,0
775 266,0,1,0
682 499 1011 971 949 142 681 1031 438,0,1,0
919 969 723 631 516,0,1,0
858 726 255 651,0,1,0
726 192 651,0,1,0
586 747 466,0,1,0
366 50 245 142 1012 969 60 630 791,0,1,0
575 1012 1000,0,1,0
246 142 1011 651,0,1,0
321 881,0,0,0
143 881,0,0,0
366 49 949 143,0,1,0
109 1011 56 284 973,0,1,0
901 42 948 559 434 697 880,0,0,0
279 902 454,0,0,0
38 226 280 900 454,0,0,0
239 618 881,0,0,0
1047 630 15 64,0,1,0
763 959 64,0,1,0
366,0,1,0
942 630 938,0,1,0
604 630 579,0,1,0
91 837 594,0,0,0
466 791 464 594,0,0,0
653 881,0,0,0
1011 470 949 118,0,1,0
473 36 511 1011 56,0,1,0
76 630 686,0,0,0
682 1011,0,1,0
887 50 429 332 470 722,0,0,0
501 186,0,1,0
684 366,0,1,0
144 576 881,0,0,0
473 0 511 1011,0,1,0
1011,0,1,0
904 907 1011,0,1,0
978 209,0,0,0
576 466 791,0,0,0
76 630 683 686 901 969 750,0,0,0
76 630 686,0,0,0
111 1012 631,0,1,0
434 351,0,1,0
579 332 631 1013,0,1,0
365 687 1000 580 765 586 631,0,1,0
76 463 683 1008 20,0,0,0
321 881,0,0,0
679 637 663,0,1,0
683 1008 902,0,0,0
1008 78,0,0,0
796 643 1031 91 36 594 141 881,0,0,0
76 630 1008 42,0,0,0
604 199,0,1,0
594 653 141 881 548,0,0,0
594 973 881 435 313,0,0,0
478 36 924 1011,0,1,0
76,0,0,0
145 881,0,0,0
783 366,0,1,0
141 881 576,0,0,0
1008 42 880 834 284,0,0,0
186 50 511 800 959 211,0,1,0
511 933 686 373 460,0,1,0
460 933 686 60,0,1,0
76 880 309 347,0,1,0
352 187 637,0,1,0
30 432 653,0,0,1
754 492 651 630 74,1,0,0
783 969 281,0,0,0
642 281,0,0,1
30 548 626,0,0,1
40 348,0,0,1
699 396 284,0,0,1
101 322 464 275,0,0,1
522 323 816 94 56,0,0,1
399 15 88,1,0,0
128 881 328 1000,0,0,1
128 911,0,0,1
390 1011 284 949 476 50 949 128 860 969 15 907,1,0,0
128 281 643 36 390 900 969 1010 631,0,0,1
103 331 969 949 128 355,1,0,0
281 833,0,0,1
128 933 631,0,0,1
1011 287 549,1,0,0
281 643,0,0,1
390 783 1000 1010 287 950 549,1,0,0
905 1000 1033 904,0,0,0
635 813 284 703 1031 941 367 949 390,1,0,0
718 203 814 464,0,0,1
30 432 653,0,0,1
40 348 36 324 464 275,0,0,1
522 323 816 94 56,0,0,1
399 15 88,0,0,0
281 368 643 373 653 681,0,0,1
862 174 248 464 61,0,0,1
783 373 60 777,0,0,0
425 787 60 466 969 658,0,0,0
38 547 325,0,0,1
464 61 1020 827 431 71 881,0,0,1
742 985 1000 261 27 1031 903 123 41,0,0,1
634 742 880,0,0,1
742 187 631,0,0,1
452 881,0,0,1
181,0,0,0
467 630 974,0,0,1
382 612 104 1011 284 476 971 951,1,0,0
934 877 462 149 36 421 477 60,0,0,0
873 1012 969 951,0,0,0
754 36 551 421 665,1,0,0
873 217 969 1010 671,0,0,0
848,0,0,1
991 847,1,0,0
226 932 631 637 847,0,0,1
305 175 524,0,0,1
848 50 551 36 754 669,0,0,1
174 152 637,0,0,1
848,0,0,1
634 1034 281 929 641,0,0,1
754 1012 464 36 844 284 52 931,0,0,0
32 958 641 950 86,1,0,0
425 196 84,1,0,0
754 787 15 539 376,0,0,0
790 959 201,1,0,0
1011 911,0,0,0
338 1031 281 502,0,0,1
734 1011,0,0,0
636 452,0,0,1
862 668 370 680,0,0,1
862 452 881,0,0,1
742 464 61 704 305 12 610,0,0,1
551 387 202,0,0,0
213 716 637 949 281 998 551 39 477,1,0,0
997 535,1,0,0
783 336,0,0,0
716 216,1,0,0
504 742 995 264 50 551 1012 969 281,1,0,0
1011 858,0,0,0
281 643,1,0,0
874 728 671 433 470 452,0,0,0
563 671 433 654 969 970 535 17 931,0,0,0
911 1011,0,0,0
754 400 701,1,0,0
977 477,0,0,0
172,0,0,0
366 50 954 528,0,0,0
281 832,1,0,0
392 190,0,0,0
570 731 567 637,1,0,0
281 642,0,0,1
958 680 604 950 164 470 161 630 777,1,0,0
642 289,0,0,1
991 1000,1,0,0
288 642,0,0,1
38 288,0,0,1
268 36 733 794 464 120,0,0,1
754 189 464 446,0,0,0
754 189 464 446,0,0,0
98 395 464 698,1,0,0
98 207 631 36 754 189 651,1,0,0
239 618 967,0,0,1
958 570 1011,0,0,0
783,0,0,0
642 15 281,0,0,1
338 1031 15 541,0,0,1
185,0,0,1
281 422 187,0,0,1
281 929 641,0,0,1
835 281 643,0,0,1
292 15 1021,0,0,1
650 386 651 630 148 36 787,1,0,0
754 36 425 783,0,0,0
382 881 373 743,0,0,1
396 959 370 690 858,1,0,0
467 630 425 9 809 428 648 153 669 951 373 967 969 967 396 648 269,1,0,0
148 911,1,0,0
467 630 15 148 300 36 953 857 284,1,0,0
148 911 36 472 731 464 379,1,0,0
148 282 641,1,0,0
467 148 300 335,1,0,0
148 18,1,0,0
803 396 60,1,0,0
148 19,1,0,0
642 979,1,0,0
468 630 148 726 969 15 907,1,0,0
10 282 642,1,0,0
312 874 565 637 836,1,0,0
716 637 281,1,0,0
281 858 643,1,0,0
281 196,1,0,0
517 52 949 281,1,0,0
754 643 374 281,1,0,0
874 104 953 716,1,0,0
716 637 949 281,1,0,0
215 716,1,0,0
642 288 421 412,1,0,0
642 281,1,0,0
775 1000 150 36 537,1,0,0
775 1000 150 36 537,1,0,0
781 959 15 920,1,0,0
517,1,0,0
551 421 531 969 480,1,0,0
875 992 630 807 517,1,0,0
934 531 651 969 748 477,1,0,0
399 89,1,0,0
716 216,0,0,1
399 15 689,0,0,1
961 691 630 1033 464 914,0,0,1
197 1035 281,0,0,1
754 366,0,0,0
421 663 969 210,0,0,1
933 663 36 544 654 613,0,0,1
552 783 904,0,0,0
783 366,0,0,0
366,0,0,0
783,0,0,0
642 446,0,0,0
235 464 446,0,0,0
228 446,0,0,0
1011,0,0,0
730 950 1019 464,0,0,0
104 913 470 452,0,0,0
104 783,0,0,0
163 81 811 464 161 630 777,0,0,0
104 637 427 464 418,0,0,0
642 15 862 134,0,0,1
873 906 651 630 75 969 829 439 346 969 551,0,0,0
635 675 36 812 284 433 941 251,0,0,0
642 949 227,0,0,0
512 284 969 384 195,0,0,0
754 918 969 384 651,0,0,0
570 1011,0,0,0
754 1012 15 337 904 643 36 852 75 281,0,0,1
505 1013 645 878,0,0,1
934 84,0,0,0
754 643 84 36 985 15 226 660,0,0,0
878 441 949 355,0,0,1
104 1011 969 617 160,0,0,0
880 630 591,0,0,1
591 911,0,0,1
366,0,0,0
366 50 773 644,0,0,0
1011 464,0,0,0
382 632 881,0,0,1
1011,0,0,0
990 223,0,0,0
790,0,0,1
413 79,0,0,1
112 1027,0,0,1
894 50 148 779 15 221,0,0,1
852 284 686,0,0,1
386 1000 651 630 163 36 519 477 654,0,0,1
400 439 393,0,0,0
364,0,0,0
188 1000 895,0,0,0
1026 96 464 339,0,0,1
985 634 523 36 643 35 634 281 859,0,0,1
856 1011,0,0,0
387 412 749 36 792 631,0,0,1
922 413,0,0,1
1011 1000 904 630 453,0,0,0
518 637 281,0,0,1
271 651 363,1,0,0
687 15 541,1,0,0
921 881 132 117 452,0,0,1
921 881 132 117 452,0,0,1
569 808 721 881,0,0,1
272 238,0,0,1
327 881 0 532 701 896 555,0,0,1
556 900,0,0,1
555 881,0,0,1
136 881,0,0,1
136 881 948 735 328 50 281 196,0,0,1
726 523,0,0,1
891 630 281 5 372 282 373 157,0,0,1
721 881,0,0,1
63 881,0,0,1
63 881 758,0,0,1
397 155 208 969 15 907,0,0,1
359 131,0,0,1
281 643 36 167 1012 464,0,0,1
721 281 643,0,0,1
478 869 198 470 120 36 902 801,0,0,1
281 643,0,0,1
281 196,0,0,1
206 542 1033 281,0,0,1
573 772 984 623 923 1023 880 1038 72 558 477 220,0,0,1
200 630 541 753,0,0,1
162 378 81 533 4,0,0,1
397 155 1049 631,0,0,1
167 1011,0,0,0
924 1012 1000,0,0,0
845 49 931,1,0,0
787 1000 36 723 1000 163 36 844 284,0,0,0
478 1012 651 36 362 410 284 418,0,0,0
478 1012 36 844 284,0,0,0
783,0,0,0
783 366,0,0,0
783,0,0,0
783 860 284 969 484,0,0,0
783 911,0,0,0
673 281,0,0,0
415 900 783,0,0,0
163 729 60 36 167 787 631,0,0,0
226 216 969 354 36 344 702 717 952 15 294,0,0,0
188 379,0,0,0
110 315 36 341,1,0,0
527 654 36 933 477 373 258 600,0,0,0
917 630 949 990 343,0,0,0
727 651 36 353 641 439 707 515,0,0,1
783 284 973,0,0,0
366 50 429 528,0,0,0
783,0,0,0
415 783,0,0,0
1011 286,0,0,0
844 284,0,0,0
256 1012 470 510 36 902 345 439 701,0,0,0
256 642 658 36 391 433 68,0,0,0
331 969 439 514,0,0,0
256 564 464 621 334 969 374,0,0,0
421 256 15 663,0,0,0
256 565,0,0,0
256 1012 622,0,0,0
256 911 1011 953 868 278 494,0,0,0
494 902 1011 25 33 1031 256,0,0,0
256 1012 464,0,0,0
1011 470 949 75,0,0,0
461 58,1,0,0
279 208 783 36 844 661,1,0,0
685 279,1,0,0
279 943 631,1,0,0
442 919,1,0,0
880 630 133 1031 658 641,0,0,1
1006 881,0,0,1
256 443 799 281 641 367 279 969 207 963,0,0,1
1017 330 464 275 386 547,0,0,1
279 407,0,0,1
279 36 966 343,0,0,1
279 1024,0,0,1
179 881,0,0,1
990 449 898 36 905 629,0,0,1
449 932 631 36 782 367 15 337 806,0,0,1
449 908 662 673 951,0,0,1
449 858 1011,0,0,1
555 412 348,0,0,1
866,0,0,1
842 464 275,0,0,1
887 630 8 415 387 464,0,0,1
43,0,0,1
44 1042,0,0,1
947 581 452 881,0,0,1
880 630 133 1031 658 641,0,0,1
880 630 850,0,0,1
666 642,0,0,1
1026 454,0,0,1
699 464 275,0,0,1
668 883 610 464 62 680 524,0,0,1
1026,0,0,1
1026 52 676,0,0,1
686 423 1000,0,0,1
183 387 1000,0,0,1
822 560,0,0,1
518,0,0,1
281 643,0,0,1
686 764,0,0,1
686 424 1000,0,0,1
1018 464 275,0,0,1
583 733 1034 107 637 949 931,0,0,1
445 113 953 818 113 953 444,0,0,0
507 166 1 342,0,0,0
507 640 26,0,0,0
1042 630 415,0,0,0
570 409,0,0,0
495 505 872,0,1,0
503,0,1,0
503,0,1,0
608 933 631 783,0,0,1
495 787 132 637 608,0,0,1
608 559 15 608 619,0,0,1
608 906,0,0,1
608 902 1011,0,0,1
405 902 1011 25,0,1,0
1011 911,0,1,0
958 609 911 129 496 216,0,0,1
306 321 493 620,0,0,1
185 630 742,0,0,1
742 903,0,0,1
618 882 1026,0,0,1
608 902 783,0,0,1
609 783 406 548 1031 507 1042,0,0,1
507 769 1000,0,0,1
383 783,0,0,1
1006 881 594,0,0,1
507 525 704 377 373 15 1045 1004,0,0,0
981 630 1014 881,0,1,1
47 366,0,1,0
1011,0,1,0
281 196,0,0,1
24 493 881,0,0,1
110 782 631,0,1,0
110 498 783 470 949 361,0,1,0
795,0,0,1
460 933 631,0,1,0
693 894,0,0,1
1011 637 973,0,1,0
24 493 881,0,0,1
421 478 90,0,0,1
24 493 881,0,0,1
820 79,0,0,1
985 637 742,0,0,1
961 762,0,0,1
820 472 195,0,0,1
481 301 100,0,0,1
76 630 140 910,0,0,1
597 907 477 386 736,0,0,1
1007 783 1000,0,1,0
1007 787 631,0,1,0
1011 739 367 15 73,0,1,0
478 1012 969 1032 36 911,0,1,0
321 493 881,0,0,1
256 237,0,1,0
878 783,0,0,1
414,0,0,1
693 894,0,0,1
256 787 1000,0,1,0
618 493 881,0,0,1
423 742 969 256,0,1,0
256 138 494,0,0,1
742 395 631,0,0,1
482 630 204,0,1,0
618 493 881,0,0,1
302 137,0,0,1
1011 367 15 805 953 911,0,1,0
302 137,0,0,1
47 366,0,1,0
366 328,0,1,0
235,0,1,0
618 620,0,0,1
736 59 247,0,0,1
256 236 1000,0,1,0
256 985 742 637,0,0,1
985 1000 742,0,1,0
783,0,1,0
555 412 348,0,0,1
170,0,0,1
467 452 881,0,0,1
642 84,0,0,1
460 787 1000,0,1,0
225 767 921 881 577,0,0,1
797 1048 50 954 296,1,0,0
751 1028 92 91 839,0,0,1
890 677,0,0,1
793 36 114 1011,0,0,0
91 387 548,0,0,1
990 782 56,0,0,0
618 967 144 881 577,0,0,1
348 232,0,0,1
114 235 651 630 946,0,0,1
1046,0,0,0
1011 969 348,0,0,0
845 285,0,0,0
710 348,0,0,1
709 348 25,0,0,1
348 714,0,0,1
466 452,0,0,1
733 103 464 15 108,0,0,0
364,0,0,0
173 627 31 307 311,0,0,1
300 880 284 778 767,0,0,1
281 643,0,0,1
1012 969 378,0,0,0
643 893 471 378,0,0,1
297 386 464 36 833 281,1,0,1
148 298 284 299,0,0,1
148 911,0,0,1
282 641,0,0,1
549 81 996,0,0,1
647 705 464 61,0,0,1
793 1041 637 664 50 819 936,0,0,0
489 985 36 1012 651,0,0,0
726 725 930 1031 573 120 180 284 82,0,0,1
573 120 67 50 109 386 464,0,0,1
783 36 889,0,0,1
87 887,0,0,1
301 663 36 678 386 1000 36 787 969 483,0,0,0
853 951,0,0,0
106 65,1,0,0
400 65,1,0,0
853 455 36 519 438 284,0,0,0
783 336,0,0,0
507 1010 56,0,0,0
47 366,0,0,0
906 631,0,0,0
1016 270,0,0,1
366,0,0,0
191 630 270,0,0,1
851 270,0,0,1
972 881,0,0,1
492 284 36 787,1,0,0
982 631 972,0,0,1
343 881 1031 488 36 987 986 387 949 1037 630 477,0,0,0
504 911,0,0,0
986 1012 56,0,0,0
489 1012 56,0,0,0
333 783,0,0,1
366,0,0,0
780 439 849,0,0,0
500 526 284 464 433 74,1,0,0
358 284 637 949 74,1,0,0
492 1000 36 787 969 1027,0,0,0
587 880,0,0,1
888 1017 637 433 326,1,0,0
1012 969 1027 36 1043 284,0,0,0
333,0,0,1
906 654 969 264 36 844 284,0,0,0
643 624 36 902 1041,0,0,0
155 291 151,0,0,1
151 911,0,0,1
114 492 651,0,0,0
793 492 651 36 933 631,0,0,0
67 880 50 819 534 438 651 36 470 115 48,1,0,0
114 783,0,0,0
366 50 793 529,0,0,0
59 230,0,0,1
590,0,0,1
618 881,0,0,1
928 637 715 927,0,0,1
47 366,0,0,0
47 366,0,0,0
366,0,0,0
507 935 739,0,0,0
507 384 737,0,0,0
802,0,0,0
646 507 845 52 931 168,0,0,0
727 1000 163 36 844 284,0,0,0
308,0,0,1
333 96,0,0,1
783 366,0,0,0
783 336,0,0,0
230 589,0,0,1
218 418 880,0,0,1
817 423,0,1,0
135 881,0,0,1
746 881,0,0,1
990 449 1031 761,0,0,1
231 464 61,0,0,1
448 1029,0,0,1
861 878 3 637 949 752,0,1,0
449 901 470 15 782,0,0,1
799 281 851,0,0,1
718 530,0,1,0
933 15 295 156 571,0,1,1
730 156 56,0,1,0
251 234 969 404 156 1044,0,0,1
831 663,0,1,0
486 1012 969 374,0,1,0
732 663 637 708,0,1,0
830 625 183 524 459,0,1,0
135 881,0,0,1
668 881 464 61,0,0,1
618 881,0,0,1
399 36 308 219,0,1,0
486 1012 969 374 281,0,1,0
711 1012 654,0,1,0
68 881,0,0,1
135 881,0,0,1
1017 783 0 119 944,0,1,1
886,0,1,0
417 653,0,0,1
486 1011 637 672,0,1,0
497 1012 631,0,1,0
135 881,0,0,1
54 881,0,0,1
686 764,0,0,1
135 881,0,0,1
262 156 582,0,0,1
486 1012 654 36 400 156,0,1,0
643 281 36 962 156 651 36 833 281,1,0,0
156 216 582 653 281,0,0,1
686 764,0,0,1
686 424 1000,0,0,1
59 798 464 61,0,0,1
156 572,0,0,1
518 637 374 281,0,0,1
486 1012 654,0,1,0
281 643,0,0,1
281 833,0,0,1
757 881 1031 988 464 61,0,0,1
1009 733 294 284,0,1,0
135 881,0,0,1
988 464 617 777 654 93,0,0,1
156 464 61,0,0,1
233,0,0,1
248,0,0,1
158 572,0,0,1
156 442 403,0,1,0
37 571,0,0,1
643 84 15 985 15 226 660,0,1,0
196 84,0,1,0
135,0,0,1
507 704 464 61,0,0,1
654 686 1020 431 546 630 465 619 464 62 154 633 340 955 426,0,0,1
686 764,0,0,1
653 464 667 545 680 464 61 839 178 879,0,0,1
686 764,0,0,1
229 601,0,1,0
610 386 871 50 486 1012 56,0,0,0
135 881,0,0,1
57 674 1031 639 308 881,0,1,0
487 301 439 369 637 701 36 79 935,0,1,0
281 833,0,0,1
726 227,0,1,0
965 630 401 193,0,0,1
862 48 349 596 36 28 464 949 61,0,0,1
592 863 779,0,0,1
949 69 630 863 595,0,0,1
76 630 742 186 631,0,0,1
457 911,0,0,1
570 490 651 630 457 835 282,0,0,1
570 782 15 337 336 1000 969 937,0,1,0
412 130 441 835 630 937,0,1,1
937 902 775,0,0,1
366 50 415 900 485 80 937,0,1,0
937 300,0,0,1
415 485 80 15 937,0,1,0
862 48 348 36 555 412 348 373 475 464 275,0,0,1
125 695 631 937 960 796,0,0,1
937 350 555 412 36 557 412 464 756,0,0,1
481 395 132,0,0,1
863 779 713,0,0,1
989 806 880 310 36 935 373 1004,0,0,1
862 48 348 712,0,0,1
319 332,0,1,0
918,0,1,0
937 36 413 216 50 954 782,0,0,1
457 770 1000,0,0,1
413 216,0,0,1
457 933 631,0,0,1
159 881 2 1005 367 957,0,0,1
611 844 284 617 969 949 389,0,1,0
389 386 637 439 521,0,1,0
618 881,0,0,1
628 71 36 826 464 949 275,0,0,1
478 1011 654 969 460 36 845 284 637 403,0,1,0
87 323 464 275,0,0,1
1017 464 841 801,1,0,0
293 1039,0,1,0
253,0,1,0
517 52 281,0,0,1
256 386 1000 36 1012 969 281 36 643,0,1,1
457 18,0,0,1
414 948 440 457 50 477 240 949 767,0,0,1
457 106 631 767 25 36 953 911 464 16 945 804,0,0,1
457 911 36 985 631,0,0,1
680 884 169,0,0,1
124 1025 655,0,0,1
880 263 165 540 470 87 97 651 1015,0,0,1
366 630 405 367 15 585 953 954 907,0,1,0
900 784 880 630 147 234,0,1,1
783 637 212,0,1,0
783 911,0,1,0
76 630 257 742,0,0,1
742 985 1000 15 539 464 617 536,0,0,1
742 78 631,0,0,1
1050 386 194 969 256 36 256 732 439 48 637 439 828,0,1,0
726 1030 651,0,0,1
23 55 373 755,0,0,1
990 415 491 284,0,1,0
475 413,0,0,1
457 281 852 832,0,0,1
457 902 741,0,0,1
125 442 1002,0,0,1
457 770,0,0,1
415 209 654 36 845 284,0,1,0
990 390 524 464 949 61,0,0,1
47 366,0,1,0
570 897 969 53,0,1,0
380 844 284,0,1,0
607 485 904 47,0,1,0
448 867,0,0,1
448 121 375,0,0,1
448 785 367 13 806,0,0,1
448 905,0,0,1
925 273,0,1,0
810 36 308 881,0,1,0
257 160 686 764,0,0,1
76 630 686,0,0,1
76 630 686,0,0,1
520 243 880 637 778 768,1,0,0
520 243 300,1,0,0
978 860 969 15 907,1,0,0
1027 395 284,1,0,0
1027 395 1000,1,0,0
978 933 631 735,1,0,0
257 686 265,0,0,1
66 630 968 96,0,0,1
686 77,0,0,1
520 243 910,1,0,0
520 243 300 36 910,1,0,0
520 243 760 36 395 21 116 6 14 806 367 956,1,0,0
520 243 209 969 15 907 36 1027 396 284,1,0,0
256 421 438 670,0,1,0
520 243 902 969 602 651,1,0,0
815 680 1011 464 15 450,0,1,0
405 675 1011,0,1,0
281 643,1,0,0
405 499 1011,0,1,0
11 680 838 1031 249,1,0,0
283 949 34 630 22 36 953 398 945 645 868 592 680 1031 15 339 574,1,0,0
405 1012 971 520 243,0,1,0
281 643 36 256 386 651,1,0,0
769 630 766 464 61,0,0,1
366 50 256 1012 971 766 1031 638 645 990 649,0,1,0
783 366 630 949 649,0,1,0
116 112,0,0,1
769 630 766 653,0,0,1
990 680 774 654 637 427 355,0,1,0
766 738,0,0,1
866 630 15 561 36 15 506,0,1,0
256 387 1000,0,1,0
548 766 975 969 615 796,0,0,1
766,0,0,1
348,0,0,1
47 366,0,1,0
99 464 275,0,0,1
99 241 766,0,0,1
598 909,0,0,1
980 969 723 900 598,0,0,1
598 902 36 949 99 933 631,0,0,1
507 524 36 704,0,0,1
314 1012 1000,0,1,0
451 783 464 275,0,0,1
607 47 366,0,1,0
