word,map
talking,935
talks,936
tank,937
tape,938
tarp,939
tart,940
tea,941
tearing,942
tears,943
teeth,944
ten,945
tent,946
thailand,947
that,948
the,949
their,950
them,951
themselves,952
then,953
they,954
things,955
this,956
this),957
three,958
through,959
throughout,960
throwing,961
throws,962
thru,963
thud,964
ticking,965
tiger,966
time,967
tiring,968
to,969
touch,970
towards,971
tractor,972
trail,973
tram,974
transitions,975
tree,976
tries,977
truck,978
trunk,979
trying,980
tug,981
turn,982
turning,983
turning.,984
turns,985
tushar,986
"tushar,",987
tv,988
twenty-five,989
two,990
tying,991
type,992
typewriter.,993
typing,994
under,995
unloaded,996
unscrewing,997
until,998
unwrapping,999
up,1000
vacuum,1001
vehicle,1002
velcro,1003
video,1004
videos,1005
village,1006
villager,1007
vlog,1008
waiter,1009
walk,1010
walking,1011
walks,1012
wall,1013
war,1014
warehouse,1015
washing,1016
water,1017
waves,1018
way,1019
we,1020
weapon,1021
wet-wipe,1022
what,1023
whimpers,1024
whizzes,1025
wind,1026
window,1027
winged,1028
winnies,1029
wires,1030
with,1031
woman,1032
wood,1033
wooden,1034
woodstove,1035
words,1036
worse,1037
would,1038
wound,1039
writer,1040
writing,1041
yelling,1042
yells,1043
yelping,1044
youtube,1045
zipper,1046
zipping,1047
zooming,1048
zooms,1049
zuhair,1050
