name,record,foley,library
guys start running,0,0,0
chair pushed back and charlie runs off,0,0,0
"couple continues to flirt and fill plate, pour themselves a drink",0,0,0
climbing gear,0,0,0
boys engage and fight,1,0,0
leans over and takes it from daves mouth,0,0,0
struggle of the two fighting,0,0,0
pulls out and flips open his pocket knife,0,0,1
running down trail,0,0,0
footsteps as he leave,0,0,0
running,0,0,0
guys running,0,0,0
walking downstairs,0,0,0
sits down,0,0,0
dave walks into kitchen and starts filling his plate,0,0,0
dave opening pack and giving her bar,0,0,0
falling to his knees,0,0,0
dave marches in normal fashion to front,0,0,0
handing dave a paper,0,0,0
dave marching,0,0,0
dave walks normally,0,0,0
dave stops walking then so does karen,0,0,0
karen starts walking again along with dave,0,0,0
dave walks in,0,0,0
walking into the bedroom,0,0,0
ice axes,1,0,0
dog comes running and sits panting,1,0,0
petting dog,1,0,0
dog tears off,1,0,0
hitting struggling,1,0,0
sound of c130 with pack open,0,0,1
village sounds,0,0,1
dave holding screen door open for dog to come thru,0,0,1
water fall in distance gets loud,0,0,1
dog growls,0,0,1
dog and tiger fighting,0,0,1
dog whimpers,0,0,1
city sounds,0,0,1
two horses standing and stomping occasionally,0,0,1
horses take off and run for a few seconds,0,0,1
"horses stop, panting, patting them",0,0,1
horses slowly walking,0,0,1
machine gun fire,0,0,1
snoring,0,0,1
sirens in distance,0,0,1
splash of 10 guys getting in,0,0,1
applause,0,0,1
"applause, yelling",0,0,1
thailand mission house sounds,0,0,1
sound of c130 with pack open,0,0,1
sound of skydiving,0,0,1
parachute opening,0,0,1
wind howling,0,0,1
plane in distance,0,0,1
party sounds. music in background. people laughing,0,0,1
wind,0,0,1
wind at peak,0,0,1
phone hands up,0,0,1
class getting up,0,0,1
shopping mall,0,0,1
knocking,0,0,1
door opens,0,0,1
phone rings,0,0,1
phone hangs up,0,0,1
waves in distance,0,0,1
mom putting wooden bowls on the table,0,0,1
"holdng breath, then shallow breath, then holding.",0,0,0
kids chanting 'fight fight',0,0,0
kids oooooo ahhhh!,0,0,0
yelling of guys,0,0,0
men grunting,0,0,0
kate kicks softly,0,1,0
kick,0,1,0
kick,0,1,0
mule takes off running,0,0,1
kate runs by on mule,0,0,1
mule makes a mule noise,0,0,1
mule stomps,0,0,1
mule starts walking,0,0,1
group starts walking again,0,1,0
walking stops,0,1,0
three mules stops but kate's continues,0,0,1
early evening jungle noises,0,0,1
click of radio,0,0,1
radio static,0,0,1
"night sounds, wind",0,0,1
mule starts running,0,0,1
mules running growing louder with kids yelling,0,0,1
kids roar up,0,0,1
gertrude running,0,0,1
village sounds morning,0,0,1
"kids laughing, playing game from a youtube video",0,0,0
tug of war sounds,0,1,1
approaching footsteps,0,1,0
walking,0,1,0
door closes,0,0,1
afternoon jungle sounds,0,0,1
boys run off,0,1,0
boys keep running into the foilage,0,1,0
scampering,0,0,1
ian takes off,0,1,0
pig squealing,0,0,1
walking on trail,0,1,0
afternoon jungle sounds,0,0,1
handing jack binoculars,0,0,1
afternoon jungle sounds,0,0,1
shelling begins,0,0,1
turns on radio,0,0,1
throwing rifle,0,0,1
shelling is closer,0,0,1
jet drops bomb,0,0,1
beep of camera stopping,0,0,1
morters stop it gets quiet,0,0,1
villager running up,0,1,0
villager runs off,0,1,0
walking quietly for a beat,0,1,0
jack walks to woman and stops,0,1,0
evening jungle sounds,0,0,1
dave creeping,0,1,0
something running,0,0,1
gunshots,0,0,1
pig squealing,0,0,1
dave runs up,0,1,0
night jungle sounds,0,0,1
hands radio to dave,0,1,0
dave calls karen,0,0,1
radio goes off,0,0,1
jingle of coins,0,1,0
night jungle sounds,0,0,1
duck call,0,0,1
"walking for a second, then stops",0,1,0
duck call,0,0,1
approaching footsteps,0,1,0
footsteps fade,0,1,0
crawling,0,1,0
night noises,0,0,1
quiet baby cry,0,0,1
dave crawls up,0,1,0
dave turns radio on,0,0,1
turns up radio,0,1,0
running,0,1,0
machine gun fire,0,0,1
cheering,0,0,1
interior house sounds,0,0,1
opening bible,0,0,1
ian runs up,0,1,0
country road summer sounds midwest,0,0,1
scooters zooming as they drive,1,0,0
red winged black birds singing,0,0,1
spring peepers,0,0,1
sam and brian walking,0,0,0
birds getting louder,0,0,1
two run away,0,0,0
night time campground sounds midwest,0,0,1
fire crackling,0,0,1
brian crawling out of tent,0,0,1
zipper,0,0,0
walking to fire,0,0,0
sitting down.,0,0,0
poking fire,0,0,1
pokes fire again,0,0,1
fire pops,0,0,1
inside house,0,0,1
putting books in a box,0,0,0
foosteps,0,0,0
chicago o'hare airport easter egg,0,0,1
driving sound down rough road,0,0,1
door opens,0,0,1
walks to gate,0,0,0
opens squeaky iron gate,0,0,1
driver gets in and shuts door,1,0,1
car drives down driveway,0,0,1
car stops,0,0,1
doors open,0,0,1
luggage being unloaded,0,0,1
orphans playing/yelling in background,0,0,1
sam writing on paperp as she talks,0,0,0
julie turns and walks out,0,0,0
pulling pulley system with metal bucket clanging down below,0,0,1
metal bucket banging as boy gets in,0,0,1
running and splashing,0,0,1
big splash,0,0,1
"drops paper and pen, gets up and runs to joey",0,0,0
slaps them,0,0,0
bouncing ball,1,0,0
grabs ball,1,0,0
slaps huck and knocks him down,0,0,0
running feet,0,0,0
kids walk away,0,0,0
approaching footsteps,0,0,0
stomps off,0,0,0
washing dishes,0,0,1
footsteps,0,0,0
clinking of dishes,0,0,1
slamming dishes,0,0,1
tractor sounds,0,0,1
jumps down and runs,1,0,0
turn off tractor,0,0,1
"fighting sounds with jule and tushar, tushar getting the worse of it",0,0,0
kicking stops,0,0,0
tushar walks away,0,0,0
julie walks away,0,0,0
fan running,0,0,1
footsteps,0,0,0
rubbing his skin,0,0,0
kelly lays down in her bed,1,0,0
flops down on the bed,1,0,0
jumps up and runs to window,0,0,0
monkey sound,0,0,1
splashes water on her face,1,0,0
walks to window and yells down,0,0,0
fan,0,0,1
stomps over to desk and sits down,0,0,0
opens notepad and starts writing,0,0,0
cart drawn carriage,0,0,1
carriage stops,0,0,1
brian jumps out,0,0,0
sam jumps out and takes off,0,0,0
banging sound as she lifts him out and into brians arms,1,0,0
brian running,0,0,0
footsteps as sam leaves,0,0,0
baby cow,0,0,1
mooo,0,0,1
night sounds,0,0,1
swinging on porch swing,0,0,1
approaching footsteps,0,0,0
approaching footsteps,0,0,0
footsteps,0,0,0
kids talking quietly,0,0,0
kids get quiet.,0,0,0
scuffling,0,0,0
orphan kids sitting at table chatting,0,0,0
pulls up chair and sits down,0,0,0
eating,0,0,1
fan blowing,0,0,1
running footsteps,0,0,0
running feet,0,0,0
cow mooing,0,0,1
convention hall sound,0,0,1
shaking hands,0,1,0
cafe sounds,0,0,1
ranch sounds,0,0,1
two horses with riders,0,0,1
cows in background,0,0,1
horse winnies,0,0,1
smacks something (gloves on the reigns),0,1,0
horses starting into a run,0,0,1
screen door slamming,0,0,1
pouring lemonaid,0,1,0
"takes a drink, cat meow",0,1,1
pushes cat away,0,1,0
"cup crashing to ground, cat yelping",0,0,1
shuffling paper,0,1,0
john walks to front,0,1,0
puts paper on podium,0,1,0
"shuffeling notes, class laughing hysterically",0,1,0
cafe sounds,0,0,1
party sounds in background,0,0,1
night sounds,0,0,1
grabbing and eating cookie,0,1,0
john walks to front door,0,1,0
polly walks over,0,1,0
bar sounds,0,0,1
cafe sounds,0,0,1
water running & brushing teeth,0,1,1
spits,0,1,0
haiti outside,0,0,1
john walking on path,0,1,0
katy walks off,0,1,0
cafe sounds,0,0,1
auction sounds,0,0,1
phone rings,0,0,1
cafe sounds,0,0,1
deaf cat moaning,0,0,1
john walks over and grabs cat,0,1,0
opens door and throws cat out and shuts door,1,0,0
cat continues moaning outside door,0,0,1
phone rings,0,0,1
phone hangs up,0,0,1
baby screaming in background,0,0,1
cat meowing,0,0,1
knocking on front door,0,0,1
john walks over,0,1,0
door opens,0,0,1
door shuts,0,0,1
resturant sounds with tv in background,0,0,1
waiter putting drink down,0,1,0
cafe sounds,0,0,1
tv in next room over blaring,0,0,1
cat in background,0,0,1
crash,0,0,1
crying,0,0,1
cats meowing,0,0,1
cat hitting ground,0,1,0
angry meow,0,0,1
opens bible a turns a couple pages,0,1,0
closes bible,0,1,0
cafe,0,0,1
kids playing in background,0,0,1
over phone we hear lots of industry noise in background. cars? oil fields? things happening,0,0,1
phone rings,0,0,1
outside in parking lot- people in background singing christmas songs.,0,0,1
phone rings,0,0,1
covers mouthpiece,0,1,0
music gets softer as john walks away,0,0,0
cafe sounds,0,0,1
awkward pause with only eating sounds,0,1,0
josue drops his fork on plate and begins talking,0,1,0
door shuts,0,0,1
pulling cover,0,1,0
ticking of grandfather clock,0,0,1
"small arms fire, mortars, and aircraft in the background",0,0,1
more smoke rounds,0,0,1
the barrage of smoke mortars,0,0,1
beep of radio clicking off,0,0,1
humvee stops,0,0,1
men jump out of humvee side doors,0,0,1
men run a few feet up to tank,0,1,0
gun butt hits side of tank,0,1,1
tank starts rolling,0,0,1
footsteps as guys start jogging behind tank,0,1,0
tank driving,0,0,1
guys jogging behind a tank,0,1,0
small arms fire and machine gun fire from isis in distance,0,0,1
bullets pinging off tank throughout scene,0,0,1
tank firing machine gun and main gun in response,0,0,1
jet goes by,0,0,1
smoke rounds popping,0,0,1
twenty-five seconds sound effects and talking from video,0,0,1
small arms fire pop,0,0,1
ephraim falls,0,1,0
struggles,0,1,0
tank and gunfire continues as they run,0,0,1
humvee roars up,0,0,1
gunfire continues,0,0,1
humvee takes off,0,0,1
ccp sounds (check videos for this),0,0,1
mustafa sits down next to the girl,0,1,0
girl gets on his lap,0,1,0
night sounds,0,0,1
occasional battle and shots in the distance,0,0,1
jack walking over to ian and sitting down on ground,0,1,0
big explosion in distance,0,0,1
"water in sink, scrubbing",1,0,0
dressing wound,0,1,0
cutting,0,1,0
knock at door,0,0,1
dave gets up and walks to door and opens,0,1,1
humvee accelerates,0,0,1
gunshots that hit humvee as it crosses the road,0,0,1
humvee bouncing off road again and then stops in about ten second,0,0,1
humvee stops and turns off,0,0,1
people speaking chechen,0,0,1
bullet whizzes overhead,0,0,1
sound design changes location into big blown out warehouse,0,0,1
footsteps of group for a moment then they stop,0,1,0
"start running, sound of cans crashing",0,1,1
running on concrete,0,1,0
running stops,0,1,0
beep of dave's radio,0,0,1
radio turns up a little in next line,0,0,1
radio beeps off,0,0,1
zuhair gets close to dave and dave puts his arms on his shoulders,0,1,0
pulling wires out,0,0,1
actual audio from rescue,0,0,1
two guys jumping down,0,1,0
isis gunfire,0,0,1
humvee door slams shut,0,0,1
humvee starts racing,0,0,1
bullets hitting vehicle,0,0,1
humvee roars,0,0,1
guys coming over and sitting down,0,1,0
two girls laughing in the background,0,0,1
approaching footsteps,0,1,0
men stand to attention,0,1,0
general sits down,0,1,0
muhammad's jogging steps approaching,0,1,0
horse snorting,0,0,1
horse bucking furiously,0,0,1
horse running/bucking for 7 seconds,0,0,1
horse stomping,0,0,1
suuzanne dismounts,0,1,0
serving and eating sounds,0,1,0
dave's cell phone rings,0,0,1
beep of phone,0,0,1
beep of phone,0,0,1
land cruiser sound on rough roads,1,0,0
land cruiser driving,1,0,0
truck slows to a stop,1,0,0
window goes down,1,0,0
window goes up,1,0,0
truck takes off quickly,1,0,0
dave's phone dials,0,0,1
bang of tiring blowing,0,0,1
phone beeping,0,0,1
land cruiser stopping,1,0,0
land cruiser driving and stopping,1,0,0
land cruiser revs and goes across bridge - 9 seconds for this,1,0,0
land cruiser coming to a stop and window going down,1,0,0
dave handing him passports,0,1,0
land cruiser starts to move out,1,0,0
seven people walking in a hospital,0,1,0
group pauses walking,0,1,0
door opens,1,0,0
group keeps walking,0,1,0
20 people sing with cue,1,0,0
double the amens of actors and then grab ten or so more people with a field mic,1,0,0
group walks towards land cruiser,0,1,0
door opens and dave gets out,1,0,0
roar of river in background,0,0,1
footsteps as dave walks towards river with one or two others,0,1,0
running footsteps of the others,0,1,0
bridge breaking,0,0,1
roar of river outside,0,0,1
two people roll over on hardwood floor,0,1,0
river quieter,0,0,1
snoring of a man and a kid,0,1,0
dave getting up,0,1,0
louder river transitions to new scene,0,0,1
river,0,0,1
fire,0,0,1
approaching footsteps,0,1,0
boat in distance,0,0,1
boat crossing river,0,0,1
motor stopped,0,0,1
trying to pull start motor,0,0,1
motor starts and the boat takes off,0,0,1
kids laughing and playing,0,0,1
eliya walks up,0,1,0
hourse running in distance,0,0,1
muhammad's approaching footsteps,0,1,0
